,Rk,Player,Team,2024-25,Player-additional,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
39,40,Bam Adebayo,MIA,"$34,848,340",adebaba01,27.0,C,78.0,78.0,34.3,6.9,14.3,0.485,1.0,2.8,0.357,5.9,11.4,0.517,0.521,3.2,4.2,0.765,2.4,7.2,9.6,4.3,1.3,0.7,2.1,2.1,18.1,,18.9,0.561,0.199,0.295,7.7,23.1,15.5,20.0,1.8,1.9,11.4,23.5,3.5,4.0,7.5,0.135,1.0,1.0,2.0,2.7
40,41,De'Aaron Fox,SAS,"$34,848,340",foxde01,27.0,PG,62.0,62.0,36.1,8.7,18.8,0.463,1.9,6.1,0.31,6.8,12.6,0.538,0.514,4.2,5.1,0.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.5,,18.3,0.56,0.328,0.273,2.7,12.1,7.4,27.2,2.0,1.1,11.8,28.3,2.6,1.7,4.3,0.093,1.3,-1.0,0.4,1.3
41,42,Desmond Bane,MEM,"$34,005,250",banede01,26.0,SG,69.0,68.0,32.0,7.1,14.8,0.484,2.4,6.1,0.392,4.8,8.7,0.548,0.565,2.6,2.9,0.894,0.9,5.2,6.1,5.3,1.2,0.4,2.4,2.4,19.2,,17.9,0.6,0.411,0.194,3.0,16.9,10.0,23.6,1.7,1.2,13.3,23.3,4.0,2.6,6.5,0.142,2.6,0.6,3.2,2.9
42,43,Deandre Ayton,POR,"$34,005,126",aytonde01,26.0,C,40.0,40.0,30.2,6.6,11.7,0.566,0.2,0.8,0.188,6.5,10.9,0.594,0.573,1.0,1.5,0.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4,,17.7,0.583,0.068,0.128,10.9,26.0,18.2,8.5,1.2,2.9,12.2,19.4,1.2,1.6,2.8,0.113,-0.3,-0.4,-0.7,0.4
43,44,James Harden,LAC,"$33,653,846",hardeja01,35.0,PG,79.0,79.0,35.3,6.7,16.4,0.41,3.0,8.5,0.352,3.7,7.9,0.472,0.501,6.4,7.3,0.874,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,22.8,ASNBA3,20.0,0.582,0.516,0.446,2.3,16.1,9.3,36.8,2.1,2.0,18.0,29.6,4.0,4.3,8.3,0.143,3.5,0.8,4.3,4.4
44,45,CJ McCollum,NOP,"$33,333,333",mccolcj01,33.0,PG,56.0,56.0,32.7,7.9,17.9,0.444,3.1,8.2,0.373,4.9,9.7,0.505,0.53,2.2,3.1,0.717,0.8,3.0,3.8,4.1,0.8,0.4,1.9,2.2,21.1,,15.8,0.55,0.459,0.173,2.4,10.3,6.2,20.6,1.2,1.3,9.0,27.2,1.3,0.2,1.5,0.038,1.2,-2.6,-1.4,0.3
45,46,Julius Randle,MIN,"$33,073,920",randlju01,30.0,PF,69.0,69.0,32.3,6.6,13.6,0.485,1.6,4.6,0.344,5.0,9.1,0.555,0.542,3.9,4.9,0.806,2.1,5.0,7.1,4.7,0.7,0.2,2.8,2.5,18.7,,17.5,0.593,0.334,0.357,7.3,16.8,12.1,22.5,1.0,0.7,15.3,25.0,3.6,2.6,6.2,0.134,1.5,-0.2,1.3,1.8
46,47,Immanuel Quickley,TOR,"$32,500,000",quickim01,25.0,PG,33.0,33.0,27.8,5.6,13.3,0.42,2.6,6.8,0.378,3.0,6.5,0.465,0.517,3.4,3.9,0.867,0.5,3.1,3.5,5.8,0.7,0.1,1.8,1.8,17.1,,17.5,0.57,0.514,0.292,1.8,12.1,6.8,31.5,1.2,0.4,10.5,25.1,1.8,0.6,2.5,0.128,3.2,-1.0,2.2,1.0
47,48,Khris Middleton,WAS,"$31,000,000",middlkh01,33.0,SF,37.0,21.0,22.8,4.3,9.1,0.475,1.3,3.6,0.361,3.0,5.5,0.549,0.546,1.9,2.3,0.857,0.4,3.4,3.7,4.1,0.9,0.2,1.5,2.0,11.9,,16.7,0.588,0.395,0.249,1.7,15.4,8.7,26.8,2.0,0.9,13.0,22.0,1.2,0.8,2.0,0.116,0.4,0.3,0.7,0.6
48,49,Jrue Holiday,BOS,"$30,000,000",holidjr01,34.0,PG,62.0,62.0,30.6,4.1,9.2,0.443,1.7,4.9,0.353,2.4,4.3,0.547,0.538,1.1,1.2,0.909,1.2,3.0,4.3,3.9,1.1,0.4,1.2,1.6,11.1,,13.5,0.565,0.534,0.134,4.4,10.8,7.6,17.3,1.7,1.3,11.3,15.8,2.8,2.4,5.1,0.13,-0.3,1.0,0.7,1.3
49,50,Isaiah Hartenstein,OKC,"$30,000,000",harteis01,26.0,C,57.0,53.0,27.9,4.9,8.4,0.581,0.0,0.3,0.0,4.9,8.1,0.605,0.581,1.4,2.1,0.675,2.9,7.9,10.7,3.8,0.8,1.1,1.7,3.0,11.2,,18.9,0.599,0.04,0.244,11.2,29.6,20.6,18.3,1.4,3.9,15.3,16.7,3.2,3.6,6.8,0.205,0.6,2.6,3.2,2.1
50,51,Jerami Grant,POR,"$29,793,104",grantje01,30.0,PF,47.0,47.0,32.4,4.6,12.2,0.373,2.3,6.3,0.365,2.3,5.9,0.381,0.467,3.0,3.5,0.849,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,14.4,,10.9,0.523,0.516,0.289,1.8,10.0,5.8,9.5,1.3,2.7,9.1,19.4,0.6,1.2,1.8,0.057,-1.4,-0.3,-1.6,0.1
